id,ticket,category,sub_category,entity_start,entity_end,entity_label,label
5,"Dear colleagues, 
I want to get a refund for the plane ticket from Nuernberg to London on the 13th Aug 2016. I have created a corresponding report in Concur and submitted it. That was about three weeks ago. But so far, I did not get any notification if the report is accepted. The IO under which I booked is: 29671028356. 
Could you please assist in this issue? 
I added the receipt for the plane ticket as an attachment. 

Best regards, 
Clemens Hoefig",Refund,Refund travel,80,86,location,Refund_Refund travel
5,"Dear colleagues, 
I want to get a refund for the plane ticket from Nuernberg to London on the 13th Aug 2016. I have created a corresponding report in Concur and submitted it. That was about three weeks ago. But so far, I did not get any notification if the report is accepted. The IO under which I booked is: 29671028356. 
Could you please assist in this issue? 
I added the receipt for the plane ticket as an attachment. 

Best regards, 
Clemens Hoefig",Refund,Refund travel,95,108,date_travel,Refund_Refund travel
6,"Dear all, hereby I request to refund my travel expenses from Cagliari to Munich Airport on June 26, 2020. Please find a scan of my plane ticket in the attachement. Regards Marta Castioni",Refund,Refund travel,61,69,location,Refund_Refund travel
6,"Dear all, hereby I request to refund my travel expenses from Cagliari to Munich Airport on June 26, 2020. Please find a scan of my plane ticket in the attachement. Regards Marta Castioni",Refund,Refund travel,73,79,location,Refund_Refund travel
6,"Dear all, hereby I request to refund my travel expenses from Cagliari to Munich Airport on June 26, 2020. Please find a scan of my plane ticket in the attachement. Regards Marta Castioni",Refund,Refund travel,91,104,date_travel,Refund_Refund travel
7,"Hello, I request a change of shift for my working schedule during the period of Sun 2.10. to Fri 7.10. The reason for this is that I have to bring my father to the hospital during that time. Sincerely Ingo Reuter",Timetable change,Shift change,141,173,reason_of_change,Timetable change_Shift change
7,"Hello, I request a change of shift for my working schedule during the period of Sun 2.10. to Fri 7.10. The reason for this is that I have to bring my father to the hospital during that time. Sincerely Ingo Reuter",Timetable change,Shift change,80,88,date,Timetable change_Shift change
7,"Hello, I request a change of shift for my working schedule during the period of Sun 2.10. to Fri 7.10. The reason for this is that I have to bring my father to the hospital during that time. Sincerely Ingo Reuter",Timetable change,Shift change,93,101,date,Timetable change_Shift change
8,"I would like to inquire about accomodation possibilities during my next business trip to Witten. I would need a hotel room for one entire month in Witten or any close-by location. Your help appreciated, Edward",Ask information,Accommodation,89,95,location,Ask information_Accommodation
8,"I would like to inquire about accomodation possibilities during my next business trip to Witten. I would need a hotel room for one entire month in Witten or any close-by location. Your help appreciated, Edward",Ask information,Accommodation,147,154,location,Ask information_Accommodation
8,"I would like to inquire about accomodation possibilities during my next business trip to Witten. I would need a hotel room for one entire month in Witten or any close-by location. Your help appreciated, Edward",Ask information,Accommodation,127,143,duration,Ask information_Accommodation
9,"Dear all, I ask a day off for medical reason the 09/09. Best Annette",Life event,Health issues,49,54,date_start_absence,Life event_Health issues
9,"Dear all, I ask a day off for medical reason the 09/09. Best Annette",Life event,Health issues,26,44,reason,Life event_Health issues
9,"Dear all, I ask a day off for medical reason the 09/09. Best Annette",Life event,Health issues,16,25,number_of_days,Life event_Health issues
10,Hi . I kindly ask you to a day off for a medical consultation. Thank you in advance ,Life event,Health issues,39,61,reason,Timetable change_Shift change
10,Hi . I kindly ask you to a day off for a medical consultation. Thank you in advance ,Life event,Health issues,25,34,number_of_days,Timetable change_Shift change
11,"Dear all, a collegue close to my desk needed a shower. Please inform him",Complaint,complaint,38,53,complaint,Complaint_complaint
11,"Dear all, a collegue close to my desk needed a shower. Please inform him",Complaint,complaint,10,20,to_who,Complaint_complaint
12,"Hi, after many years in SAP, I kindly ask you a rasie in salary about 6%. ",Salary,Salary raise,70,72,increase_in_percentage,Salary_Salary raise
15,Hi. I ask you for a day of the 30/6 to attend a funeral. Best,Life event,Health issues,30,40,location,Timetable change_Shift change
15,Hi. I ask you for a day of the 30/6 to attend a funeral. Best,Life event,Health issues,45,49,date_start_absence,Timetable change_Shift change
17,"Dear all, I will soon move to Hildesheim office. Any advise for the accomodation",Ask information,Accommodation,48,56,location,Ask information_Accommodation
18,"Dear all, I ask you a day for sick leave the 29/9. Best",Life event,Health issues,62,74,duration,Life event_Health issues
18,"Dear all, I ask you a day for sick leave the 29/9. Best",Life event,Health issues,40,43,date_start_absence,Life event_Health issues
20,"Dear all, Asking advises for an accomodation in Florence from next January.",Ask information,Accommodation,26,54,complaint,Ask information_Accommodation
20,"Dear all, Asking advises for an accomodation in Florence from next January.",Ask information,Accommodation,10,18,to_who,Ask information_Accommodation
21,"Dear all, I ask you a sick leave day on 6/3. Best ",Life event,Health issues,42,56,date,Life event_Health issues
21,"Dear all, I ask you a sick leave day on 6/3. Best ",Life event,Health issues,22,56,complaint,Life event_Health issues
22,"dear all, Ssu Nhat always discriminate me about my age.",Complaint,complaint,52,61,location,Complaint_complaint
22,"dear all, Ssu Nhat always discriminate me about my age.",Complaint,complaint,123,132,location,Complaint_complaint
23,"Dear all, I will not be in the office the 6 of september",Timetable change,Shift change,226,234,duration,Timetable change_Shift change
26,Dear all Stephan Roux says stupid things about my gender. ,Complaint,complaint,223,231,location,Complaint_complaint
29,"Dear colleagues, I am re-locating to our offices in Salamanca. I am new to the country and do not have any knowledge about Salamanca either. I was wonodering whether our company provide an access to a temporary accoomodation (6 months) which I can rent while looking for my new permanenent home. 
Thank you in advance for your help,
Herminia",Ask information,Accommodation,143,163,date,Ask information_Accommodation
29,"Dear colleagues, I am re-locating to our offices in Salamanca. I am new to the country and do not have any knowledge about Salamanca either. I was wonodering whether our company provide an access to a temporary accoomodation (6 months) which I can rent while looking for my new permanenent home. 
Thank you in advance for your help,
Herminia",Ask information,Accommodation,244,249,date,Ask information_Accommodation
29,"Dear colleagues, I am re-locating to our offices in Salamanca. I am new to the country and do not have any knowledge about Salamanca either. I was wonodering whether our company provide an access to a temporary accoomodation (6 months) which I can rent while looking for my new permanenent home. 
Thank you in advance for your help,
Herminia",Ask information,Accommodation,308,310,increase_in_percentage,Ask information_Accommodation
30,"Dear colleagues, In accordance with SAP business ethics guide, I would like to
 report to you my concerns regarding my colleague John Smith (I-numner I1233455) . 
John and I are working together on a contract with a new customer.  The customer has invited John several times to an expensive restaurant and proposed us gifts. According to our business conduct policy, I have refused the gifts, but I think John has acceopted them.
In our last proposal for the customer John has suggested a very large discount for the customer which I find  not justified .
John is a good colleague and a reliable employee. I do nto want to cause him an unnesssary harm, but I think his judgement might be misguided in this case and I would like ot ask you to check the contract proposal . Kind regards, Korbinian",Complaint,complaint,342,352,salary,Complaint_complaint
31,"Dear colleagues,
Due to the air traffic controller strike and cancaellation of my original return
 flight from the business trip, I was obliged to purchased a new plane ticket 
with my personal credit card from Tenerife to Hannover on 19.12,2013.
The cost of hte flight was 455 euro incl VAT and you can find the receipt attached.
I would like to request a refund for the ticket.
Thanks,
Quique",Refund,Refund travel,356,366,salary,Refund_Refund travel
31,"Dear colleagues,
Due to the air traffic controller strike and cancaellation of my original return
 flight from the business trip, I was obliged to purchased a new plane ticket 
with my personal credit card from Tenerife to Hannover on 19.12,2013.
The cost of hte flight was 455 euro incl VAT and you can find the receipt attached.
I would like to request a refund for the ticket.
Thanks,
Quique",Refund,Refund travel,84,128,complaint,Refund_Refund travel
31,"Dear colleagues,
Due to the air traffic controller strike and cancaellation of my original return
 flight from the business trip, I was obliged to purchased a new plane ticket 
with my personal credit card from Tenerife to Hannover on 19.12,2013.
The cost of hte flight was 455 euro incl VAT and you can find the receipt attached.
I would like to request a refund for the ticket.
Thanks,
Quique",Refund,Refund travel,63,81,to_who,Refund_Refund travel
32,"Dear colleagues,
I am a sole caregiver to my father, who is seriously ill since 3 years. 
I have to bring him to the hospital for his exams on Wednesday 30.06.2022. I have a shift scheduled for that day and I would like to request a change for 10.07, which is Saturday.
Ii hope you cna accomodate my request,
Sincerely yours,
Natalia",Timetable change,Shift change,394,454,complaint,Timetable change_Shift change
32,"Dear colleagues,
I am a sole caregiver to my father, who is seriously ill since 3 years. 
I have to bring him to the hospital for his exams on Wednesday 30.06.2022. I have a shift scheduled for that day and I would like to request a change for 10.07, which is Saturday.
Ii hope you cna accomodate my request,
Sincerely yours,
Natalia",Timetable change,Shift change,91,106,to_who,Timetable change_Shift change
32,"Dear colleagues,
I am a sole caregiver to my father, who is seriously ill since 3 years. 
I have to bring him to the hospital for his exams on Wednesday 30.06.2022. I have a shift scheduled for that day and I would like to request a change for 10.07, which is Saturday.
Ii hope you cna accomodate my request,
Sincerely yours,
Natalia",Timetable change,Shift change,193,198,wage_gap,Timetable change_Shift change
33,"Dear colleagues,
One of my direct reports, John Doe, has been promotelast year d to a first line supervisor of production. John has showed himself exceptionally dedicated to the new role and has increased the productivity of his team by 5%.
Considering his exceptional engagement I woudl like to request a 7% raise to his salary (i.e. from 67100 euro to 71800 euro) , starting form the next month. 
This was agreed with my upper management, please assist with teh implementation of the increase in the system.
Sincerely,
Gerard",Salary,Salary raise,87,98,date_start_absence,Salary_Salary raise
33,"Dear colleagues,
One of my direct reports, John Doe, has been promotelast year d to a first line supervisor of production. John has showed himself exceptionally dedicated to the new role and has increased the productivity of his team by 5%.
Considering his exceptional engagement I woudl like to request a 7% raise to his salary (i.e. from 67100 euro to 71800 euro) , starting form the next month. 
This was agreed with my upper management, please assist with teh implementation of the increase in the system.
Sincerely,
Gerard",Salary,Salary raise,60,83,reason,Salary_Salary raise
33,"Dear colleagues,
One of my direct reports, John Doe, has been promotelast year d to a first line supervisor of production. John has showed himself exceptionally dedicated to the new role and has increased the productivity of his team by 5%.
Considering his exceptional engagement I woudl like to request a 7% raise to his salary (i.e. from 67100 euro to 71800 euro) , starting form the next month. 
This was agreed with my upper management, please assist with teh implementation of the increase in the system.
Sincerely,
Gerard",Salary,Salary raise,126,131,number_of_days,Salary_Salary raise
34,"Dear colleagues,
I would like to bring to your attention that my direct manager is not treating 
employees in his team equally and reserves a special favorite treatment to Ann 
Smith.
The team cohesion and working atmosphere suffer greatly because of this special
relationship and I would ask you to take immediate measures with regard to my manager's behaviour.
Kind regards,
Andrea",Complaint,complaint,78,83,wage_gap,Complaint_complaint
34,"Dear colleagues,
I would like to bring to your attention that my direct manager is not treating 
employees in his team equally and reserves a special favorite treatment to Ann 
Smith.
The team cohesion and working atmosphere suffer greatly because of this special
relationship and I would ask you to take immediate measures with regard to my manager's behaviour.
Kind regards,
Andrea",Complaint,complaint,44,55,location,Complaint_complaint
35,"Dear colleagues,
I would like to reach out to you to signal an inappropriate behaviour of my 
colleagues Peter Brown. As you know I have a recognised disability. I value 
greatly the diversity and inclusion policy which exists in our company. Until
Peter has joined our team I had never encountered a discrimination because
of my difference. However, Peter on several occasions has made a diminishing
remarks towards me with regard to my disability, or behaved himself in such a
 way as to exclude me from the team acivity .  Even after the team colleagus and 
the manager has remarked several times that his behaviour is inappropriate, 
he continued to discriminate against me.
I request you take an appropriate action with regard to Peter, so that I can 
continue to work in decent and acceptable environement, Sincerely yours,
Anne",Complaint,complaint,58,64,location,Complaint_complaint
35,"Dear colleagues,
I would like to reach out to you to signal an inappropriate behaviour of my 
colleagues Peter Brown. As you know I have a recognised disability. I value 
greatly the diversity and inclusion policy which exists in our company. Until
Peter has joined our team I had never encountered a discrimination because
of my difference. However, Peter on several occasions has made a diminishing
remarks towards me with regard to my disability, or behaved himself in such a
 way as to exclude me from the team acivity .  Even after the team colleagus and 
the manager has remarked several times that his behaviour is inappropriate, 
he continued to discriminate against me.
I request you take an appropriate action with regard to Peter, so that I can 
continue to work in decent and acceptable environement, Sincerely yours,
Anne",Complaint,complaint,85,95,duration,Complaint_complaint
36,"Dear colleagues,
In the recent salary review I have discovered that my colleague Swen, who was 
hired at the same time as me, has the same qualifications and work experience
as me, is payed 22.5% more than I.
You advertise yourself as an equal opportunity employer, with diversity,
inclusion and equal pay policies, so I was left shocked by this discovery. Thus I
formally request an written explanation of this inacceptable pay gap, fro which
I can see no other reason than gender difference.
Sicerely,
Henriette",Salary,Gender pay gap,119,126,duration,Salary_Gender pay gap
37,"Dear colleagues,
Due to my current health issues I have to visit a physiotherapist on 02.12.2021 
and would like to request 1 day of leave of absence,
Thank you,
Anto",Life event,Health issues,83,98,reason_of_change,Life event_Health issues
37,"Dear colleagues,
Due to my current health issues I have to visit a physiotherapist on 02.12.2021 
and would like to request 1 day of leave of absence,
Thank you,
Anto",Life event,Health issues,47,54,date,Life event_Health issues
37,"Dear colleagues,
Due to my current health issues I have to visit a physiotherapist on 02.12.2021 
and would like to request 1 day of leave of absence,
Thank you,
Anto",Life event,Health issues,158,165,date,Life event_Health issues
38,Hi. I don't get the latest disclosed numbers. Is there really a difference of 48.5% ofsalary between our different colleagues? Is it something that is going to be sorted out?,Salary,Gender pay gap,153,175,complaint,Salary_Gender pay gap
39,"Dear colleagues,

I'm going to move in to Duesseldorf in the coming weeks. Would you have a listing available for a temporary stay?",Ask information,Accommodation,122,133,to_who,Ask information_Accommodation
40,"Hello,

I'm looking for information on accomodations at Bochum for my planned stay next month. I will stay there for 4 weeks. Do you have contacts or agreement with specific places?

Looking forward your reply,
Best regards,
Wihelmine",Ask information,Accommodation,61,79,date_start_absence,Ask information_Accommodation
40,"Hello,

I'm looking for information on accomodations at Bochum for my planned stay next month. I will stay there for 4 weeks. Do you have contacts or agreement with specific places?

Looking forward your reply,
Best regards,
Wihelmine",Ask information,Accommodation,24,60,reason,Ask information_Accommodation
40,"Hello,

I'm looking for information on accomodations at Bochum for my planned stay next month. I will stay there for 4 weeks. Do you have contacts or agreement with specific places?

Looking forward your reply,
Best regards,
Wihelmine",Ask information,Accommodation,77,83,location,Ask information_Accommodation
41,"Dear Colleaugues,

I was supposed to work on July 11. But I do have an important university exam that I cannot miss. Would you please change my schedule to July 20?

Thank you and best regards,
Margaud Boutin",Timetable change,Shift change,87,94,location,Timetable change_Shift change
41,"Dear Colleaugues,

I was supposed to work on July 11. But I do have an important university exam that I cannot miss. Would you please change my schedule to July 20?

Thank you and best regards,
Margaud Boutin",Timetable change,Shift change,111,121,date_travel,Timetable change_Shift change
41,"Dear Colleaugues,

I was supposed to work on July 11. But I do have an important university exam that I cannot miss. Would you please change my schedule to July 20?

Thank you and best regards,
Margaud Boutin",Timetable change,Shift change,99,121,complaint,Timetable change_Shift change
44,"Dear HR department,

I would like to officialy complaint about an innaceptable situation. I was working at my desk when a colleague just came over and starting harrassing me.
I need you to act strongly on this behavior. 
",Complaint,complaint,31,55,reason_of_change,Complaint_complaint
44,"Dear HR department,

I would like to officialy complaint about an innaceptable situation. I was working at my desk when a colleague just came over and starting harrassing me.
I need you to act strongly on this behavior. 
",Complaint,complaint,73,83,date_start_absence,Complaint_complaint
45,Hello. Please note that I will get my wisdom tooth extracted September the 23rd and that I will not be able to come at work that day. Regards.,Life event,Health issues,85,109,reason,Life event_Health issues
45,Hello. Please note that I will get my wisdom tooth extracted September the 23rd and that I will not be able to come at work that day. Regards.,Life event,Health issues,48,53,number_of_days,Life event_Health issues
46,Hello. Due to some business elated reasons I couldn't get on the flight from Tucson to Phoenix (flight SH3452) 24/12/2015. Can you please tell what is the process to get a refund ? Thanks. Regards.,Refund,Refund travel,82,93,date_start_absence,Refund_Refund travel
46,Hello. Due to some business elated reasons I couldn't get on the flight from Tucson to Phoenix (flight SH3452) 24/12/2015. Can you please tell what is the process to get a refund ? Thanks. Regards.,Refund,Refund travel,95,112,reason,Refund_Refund travel
46,Hello. Due to some business elated reasons I couldn't get on the flight from Tucson to Phoenix (flight SH3452) 24/12/2015. Can you please tell what is the process to get a refund ? Thanks. Regards.,Refund,Refund travel,58,63,number_of_days,Refund_Refund travel
47,Hello. I am contacting you regarding a dificult and painful situation. I would like to report some gender discriminations against me from my direct manager. I am looking to get some help from the organization but I really don't know whom I should ou could contact. Thanks.  ,Complaint,complaint,108,116,location,Complaint_complaint
47,Hello. I am contacting you regarding a dificult and painful situation. I would like to report some gender discriminations against me from my direct manager. I am looking to get some help from the organization but I really don't know whom I should ou could contact. Thanks.  ,Complaint,complaint,83,90,duration,Complaint_complaint
52,It has to be in Bergedorf. Otherwise I would need a rental car to visit the customer so the costs would be higher. Thank you.,Ask information,Accommodation,8,36,description_life_event,Ask information_Accommodation
56,Thanks in advance to accept as I am the wedding witness. It cannot happen without me so I even prefer to quit the company than to miss this crucial event.,Timetable change,Shift change,176,181,wage_gap,Timetable change_Shift change
58,"Goodmorning, I need to request a sick leave for 5 days starting from the 11 october, due to a medical therapy. Can you please provide me information on the documentation I should send for the request? Thank you  ",Life event,Health issues,29,44,reason,Life event_Health issues
58,"Goodmorning, I need to request a sick leave for 5 days starting from the 11 october, due to a medical therapy. Can you please provide me information on the documentation I should send for the request? Thank you  ",Life event,Health issues,19,28,number_of_days,Life event_Health issues
58,"Goodmorning, I need to request a sick leave for 5 days starting from the 11 october, due to a medical therapy. Can you please provide me information on the documentation I should send for the request? Thank you  ",Life event,Health issues,19,32,location,Life event_Health issues
59,"Goodmorning, I need to make a request for a sick leave of 1 day starting from the 4th october, due to a fracture. Please let me know if you need any further information or documentation. Thank you  ",Life event,Health issues,37,46,duration,Life event_Health issues
59,"Goodmorning, I need to make a request for a sick leave of 1 day starting from the 4th october, due to a fracture. Please let me know if you need any further information or documentation. Thank you  ",Life event,Health issues,104,131,reason_of_change,Life event_Health issues
59,"Goodmorning, I need to make a request for a sick leave of 1 day starting from the 4th october, due to a fracture. Please let me know if you need any further information or documentation. Thank you  ",Life event,Health issues,55,63,date,Life event_Health issues
61,"Goodmorning, I would like to ask further information on how to make  request for a 1 month accommodation at Eixample, thank you",Ask information,Accommodation,62,72,location,Ask information_Accommodation
61,"Goodmorning, I would like to ask further information on how to make  request for a 1 month accommodation at Eixample, thank you",Ask information,Accommodation,76,81,location,Ask information_Accommodation
62,"Goordmorning, I would like to requet some time off for personal issues, let me know what kind of information I should provide for the request, thank you!",Life event,Personal issues,85,95,date_travel,Life event_Personal issues
63,"Dear colleagues, 
in my last travel expense request the plnae ticket for the flight from Paris to Casablance on August 8, 2014, was not refunded.
Kindly check and refund my edxpense. 
Best regards, Susan",Refund,Refund travel,53,82,description_life_event,Refund_Refund travel
63,"Dear colleagues, 
in my last travel expense request the plnae ticket for the flight from Paris to Casablance on August 8, 2014, was not refunded.
Kindly check and refund my edxpense. 
Best regards, Susan",Refund,Refund travel,108,118,date_start_absence,Refund_Refund travel
63,"Dear colleagues, 
in my last travel expense request the plnae ticket for the flight from Paris to Casablance on August 8, 2014, was not refunded.
Kindly check and refund my edxpense. 
Best regards, Susan",Refund,Refund travel,24,43,reason,Refund_Refund travel
64,"Hello,
due to the death of my uncle I request a day off in order to participat eto the burial ceremony.
Thank you for your understanding and kind regards, Jonas",Life event,Personal issues,87,93,number_of_days,Life event_Personal issues
65,"Hello,
this is to request a shift change:
My current shift is on Wednesday August 07, 2022 and I 'd like request the shift on Tuesday August 13, 2022.
This is for a personal reason to paerticipate to the wedding of my brother.
Thanks and best regards, Brandon",Timetable change,Shift change,79,86,location,Timetable change_Shift change
65,"Hello,
this is to request a shift change:
My current shift is on Wednesday August 07, 2022 and I 'd like request the shift on Tuesday August 13, 2022.
This is for a personal reason to paerticipate to the wedding of my brother.
Thanks and best regards, Brandon",Timetable change,Shift change,127,136,duration,Timetable change_Shift change
65,"Hello,
this is to request a shift change:
My current shift is on Wednesday August 07, 2022 and I 'd like request the shift on Tuesday August 13, 2022.
This is for a personal reason to paerticipate to the wedding of my brother.
Thanks and best regards, Brandon",Timetable change,Shift change,16,50,description_life_event,Timetable change_Shift change
66,"Dear colleagues,
I came to notice that there seems to be a general problem with equal pay in our company.
Talking to colleagues there seems to be a general gender pay gap of 13.7% between man and women.
Kindly explain the reason for this.
Thanks and best regards, Fortunato",Salary,Gender pay gap,37,45,location,Salary_Gender pay gap
67,"Hello, I would like to request a salary raise of 8%. My actual saalary is below my category, also I have received an interesting offer from another company. Imy preference goes with having a raise and keeping my actual job. Regards Barbara. ",Salary,Salary raise,50,59,duration,Salary_Salary raise
68,"Hi, I need to take a day off to see a doctor. I'm not feeling good. Donatella",Life event,Health issues,56,61,location,Life event_Health issues
68,"Hi, I need to take a day off to see a doctor. I'm not feeling good. Donatella",Life event,Health issues,65,74,location,Life event_Health issues
69,"Hi, I'm staying in Gelsenkirchen for one month for my job. Do you have any accomodations you can recommend? Thanks Damian.",Ask information,Accommodation,97,107,date_travel,Ask information_Accommodation
69,"Hi, I'm staying in Gelsenkirchen for one month for my job. Do you have any accomodations you can recommend? Thanks Damian.",Ask information,Accommodation,86,122,reason_of_change,Ask information_Accommodation
70,"Dear Service-Desk Team, I need to change my shift from 01. June to  05. June 2022 because I will attend a wedding of a close friend that day. Thanks and kind regards, Glenn",Timetable change,Shift change,57,65,date,Timetable change_Shift change
70,"Dear Service-Desk Team, I need to change my shift from 01. June to  05. June 2022 because I will attend a wedding of a close friend that day. Thanks and kind regards, Glenn",Timetable change,Shift change,69,77,date,Timetable change_Shift change
70,"Dear Service-Desk Team, I need to change my shift from 01. June to  05. June 2022 because I will attend a wedding of a close friend that day. Thanks and kind regards, Glenn",Timetable change,Shift change,44,55,location,Timetable change_Shift change
71,"Dear Service-Desk, can you please refund my plane ticket from Washington to Omaha at 28/12/2021. You can find it attached to this ticket. Thanks and regards, Randall",Refund,Refund travel,32,40,duration,Refund_Refund travel
71,"Dear Service-Desk, can you please refund my plane ticket from Washington to Omaha at 28/12/2021. You can find it attached to this ticket. Thanks and regards, Randall",Refund,Refund travel,47,70,description_life_event,Refund_Refund travel
71,"Dear Service-Desk, can you please refund my plane ticket from Washington to Omaha at 28/12/2021. You can find it attached to this ticket. Thanks and regards, Randall",Refund,Refund travel,79,139,description_life_event,Refund_Refund travel
72,"Hello Sir or Madam, I would like to request time off due to change of my residence. Regards, Cintia Sevilla",Life event,Personal issues,181,185,wage_gap,Life event_Personal issues
73,"Dear Service-Desk Team, due to Osteoporosis I would like to request for sick leave for 4 days starting from 18/11/2014. Thanks, Danielle",Life event,Health issues,73,119,description_life_event,Life event_Health issues
73,"Dear Service-Desk Team, due to Osteoporosis I would like to request for sick leave for 4 days starting from 18/11/2014. Thanks, Danielle",Life event,Health issues,67,71,location,Life event_Health issues
73,"Dear Service-Desk Team, due to Osteoporosis I would like to request for sick leave for 4 days starting from 18/11/2014. Thanks, Danielle",Life event,Health issues,75,80,location,Life event_Health issues
74,"Dear colleague, can you provide me with some information about accomodation in Marzahn? I need to switch location for the next 12 months ahead and do not know where to look for accommodation. Best regards, Katy",Ask information,Accommodation,84,94,date_travel,Ask information_Accommodation
74,"Dear colleague, can you provide me with some information about accomodation in Marzahn? I need to switch location for the next 12 months ahead and do not know where to look for accommodation. Best regards, Katy",Ask information,Accommodation,252,256,location,Ask information_Accommodation
75,"Dear colleague, due to the pregnancy of my partner I would like to request some time off? Best regards, Alwina",Life event,Personal issues,271,276,location,Life event_Personal issues
76,"Hello colleague, I am going to be in Würzburg for one month. Can you help me with finding an accommodation? Thanks, Milan",Ask information,Accommodation,229,239,date_travel,Ask information_Accommodation
76,"Hello colleague, I am going to be in Würzburg for one month. Can you help me with finding an accommodation? Thanks, Milan",Ask information,Accommodation,106,136,complaint,Ask information_Accommodation
77,"Dear Sir/Madam, I had a reservation for the flight from Miami to Frankfurt originally planned on 18/12/2012, but it was deleted due to weather conditions. Therefore, I would like to ask a refund. Kind Regards, Jason Obrien",Refund,Refund travel,156,168,to_who,Refund_Refund travel
77,"Dear Sir/Madam, I had a reservation for the flight from Miami to Frankfurt originally planned on 18/12/2012, but it was deleted due to weather conditions. Therefore, I would like to ask a refund. Kind Regards, Jason Obrien",Refund,Refund travel,65,70,wage_gap,Refund_Refund travel
77,"Dear Sir/Madam, I had a reservation for the flight from Miami to Frankfurt originally planned on 18/12/2012, but it was deleted due to weather conditions. Therefore, I would like to ask a refund. Kind Regards, Jason Obrien",Refund,Refund travel,14,50,description_life_event,Refund_Refund travel
